sq_candidato,link,tse_uf,tse_nome_urna,tse_n_urna,tse_cargo,tse_partido,resultado,numero_votos
130001607369,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607369,MG,DANDARA,13777,DEPUTADO ESTADUAL,PT,SUPLENTE,18624
130001607401,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607401,MG,DANIEL CABRAL,65000,DEPUTADO ESTADUAL,PC DO B,SUPLENTE,8100
130001615068,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615068,MG,DUDA DAS CADEIRAS,21210,DEPUTADO ESTADUAL,PCB,NÃO ELEITO,2746
130001607432,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607432,MG,EDINALDO SOARES,13111,DEPUTADO ESTADUAL,PT,SUPLENTE,3616
130001615175,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615175,MG,GIZA ALEXANDRE,5046,DEPUTADO FEDERAL,PSOL,SUPLENTE,1066
130001606754,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001606754,MG,GREGORY RODRIGUES,12457,DEPUTADO ESTADUAL,PDT,SUPLENTE,610
130001615280,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615280,MG,BELLA GONÇALVES,50500,DEPUTADO ESTADUAL,PSOL,ELEITO POR QP,43768
130001678198,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001678198,MG,ISAÍAS MARTINS,15678,DEPUTADO ESTADUAL,MDB,SUPLENTE,4982
130001615181,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615181,MG,IZA LOURENÇA,5000,DEPUTADO FEDERAL,PSOL,SUPLENTE,51304
130001615233,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615233,MG,LAUANA JUHLIA TAINA,50111,DEPUTADO ESTADUAL,PSOL,SUPLENTE,12442
130001615271,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615271,MG,KÊNIA RIBEIRO,50444,DEPUTADO ESTADUAL,PSOL,SUPLENTE,558
130001607374,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607374,MG,KÉSLEY A ATREVIDA,13038,DEPUTADO ESTADUAL,PT,SUPLENTE,1521
130001615079,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615079,MG,LÍVIA FLOR,2135,DEPUTADO FEDERAL,PCB,NÃO ELEITO,856
130001607278,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607278,MG,CIÇA,1322,DEPUTADO FEDERAL,PT,SUPLENTE,5902
130001612987,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001612987,MG,NEILA SCHINEIDER,7741,DEPUTADO FEDERAL,SOLIDARIEDADE,SUPLENTE,254
130001615080,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615080,MG,ESPAGUETE,2117,DEPUTADO FEDERAL,PCB,NÃO ELEITO,1957
130001615093,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615093,MG,SARA AZEVEDO,500,SENADOR,PSOL,NÃO ELEITO,113304
130001613138,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001613138,MG,VINÍCIUS VINISIM,40444,DEPUTADO ESTADUAL,PSB,SUPLENTE,1002
130001615238,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615238,MG,COLETIVAS VOZES GERAIS/WALLACE,50034,DEPUTADO ESTADUAL,PSOL,SUPLENTE,1710
130001606697,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001606697,MG,DUDA SALABERT,1212,DEPUTADO FEDERAL,PDT,ELEITO POR QP,208332
130001613347,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001613347,MG,JULIANA SALES,2300,DEPUTADO FEDERAL,CIDADANIA,SUPLENTE,5487
130001607255,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001607255,MG,GUSTAVO MENDES,1340,DEPUTADO FEDERAL,PT,SUPLENTE,18634
130001615215,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001615215,MG,MARIA DA CONSOLAÇÃO,50888,DEPUTADO ESTADUAL,PSOL,SUPLENTE,7793
130001606736,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/MG/130001606736,MG,EDIMAR FERREIRA,12888,DEPUTADO ESTADUAL,PDT,SUPLENTE,519
