"OBS: Candidaturas LGBT+ ao Legislativo, que disputaram as eleições de 2022, cadastradas na plataforma VoteLGBT. TOTAL = 319",,,,,,,
Link,TSE_UF,TSE NOME DE URNA,TSE N° URNA,TSE CARGO,TSE PARTIDO,RESULTADO,NÚMERO DE VOTOS
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001608963,PE, FLÁVIA HELLEN ,13180,Deputado Estadual,PT,Suplente,7.975
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001619586,PE, JANIELLY AZEVEDO ,5088,Deputado Federal,PSOL,Suplente,1.773
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001619594,PE, ENFERMEIRO JHON ,5025,Deputado Federal,PSOL,Suplente,1.743
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001618417,PE,JÔ DAS JUNTAS,50180,Deputado Estadual,PSOL,Suplente,15.410
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001619598,PE, LUIZA CAROLINA ,5044,Deputado Federal,PSOL,Suplente,1.058
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001618413,PE, MÔNICA COLETIVO ARCO-ÍRIS ,18222,Deputado Estadual,REDE,Suplente,130
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001619584,PE, ROBEYONCÉ ,5000,Deputado Federal,PSOL,Suplente,80.732
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001608960,PE, ROSA AMORIM ,13100,Deputado Estadual,PT,Eleito por QP,42.632
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001618416,PE, SYLVIA ,18180,Deputado Estadual,REDE,Suplente,3.988
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001715592 ,PE, VICTÓRIA PINHEIRO ,2121,Deputado Federal,PCB,Não eleito,2.576
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001608958,PE, VINICIUS CASTELLO ,13789,Deputado Estadual,PT,Suplente,22.713
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PE/170001608983 ,PE,FLOR DA COLETIVA,65100,Deputado Estadual,PC do B,Suplente,2.824
https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2022/2040602022/PI/180001605672,PI, BEEL DA SILVA ,13013,Deputado Estadual,PT,Suplente,1.044
